Server_Name|App_Code|Env|LOCATION|App_Support_Group|App_Support_Group_email|Release|Exception|Deployment|Deployment_Type|Day|Patch_Date_PST|Patch_Day_PST|Patch_Start_Time_PST|Patch_End_Time_PST|Patch_Date_MNL|Patch_Day_MNL|Patch_Start_Time_MNL|Patch_End_Time_MNL|Assigned_Resource|Exclude_List|Patch_Status|POWER_STATUS|Patching_Shift
zpuwdvcoconfprd003|dvco|PROD|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 17|7/25/24|Thursday|10:00 PM|02:00 AM|7/26/24|Friday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
dgm010b54|dvji|DEV|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 02|7/10/24|Wednesday|06:00 PM|10:00 PM|7/11/24|Thursday|09:00 AM|01:00 PM|glenn|#N/A|PATCHED|Stopped (deallocated)|Manila Shift
dgm010b55|dvji|DEV|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 02|7/10/24|Wednesday|06:00 PM|10:00 PM|7/11/24|Thursday|09:00 AM|01:00 PM|glenn|#N/A|PATCHED|Stopped (deallocated)|Manila Shift
pgm010b58|dvji|PROD|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 17|7/25/24|Thursday|10:00 PM|02:00 AM|7/26/24|Friday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
pgm010b59|dvji|PROD|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 17|7/25/24|Thursday|10:00 PM|02:00 AM|7/26/24|Friday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
qgm010b57|dvji|QA|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 03|7/11/24|Thursday|10:00 PM|02:00 AM|7/12/24|Friday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
qgm010b58|dvji|QA|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 03|7/11/24|Thursday|10:00 PM|02:00 AM|7/12/24|Friday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
pgv010bf5|eaad|PROD|West US|IT Ops Performance Monitoring and Engineering|IT.Ops.PerformanceEngineering@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|09:00 PM|01:00 AM|7/28/24|Sunday|12:00 PM|04:00 PM|chet|#N/A|PATCHED|Running|Manila Shift
pgv010bfb|eaad|PROD|West US|IT Ops Performance Monitoring and Engineering|IT.Ops.PerformanceEngineering@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|09:00 PM|01:00 AM|7/28/24|Sunday|12:00 PM|04:00 PM|chet|#N/A|PATCHED|Running|Manila Shift
pgv010bfd|eaad|PROD|West US|IT Ops Performance Monitoring and Engineering|IT.Ops.PerformanceEngineering@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|09:00 PM|01:00 AM|7/28/24|Sunday|12:00 PM|04:00 PM|chet|#N/A|PATCHED|Running|Manila Shift
pgv0118b6|eacr|PROD|West US|IT Ops Performance Monitoring and Engineering|IT.Ops.PerformanceEngineering@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|09:00 PM|01:00 AM|7/28/24|Sunday|12:00 PM|04:00 PM|chet|#N/A|PATCHED|Running|Manila Shift
dgv011dcc|EATS|DEV|West US|IT Ops Performance Monitoring and Engineering|IT.Ops.PerformanceEngineering@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
dgv011dcd|EATS|DEV|West US|IT Ops Performance Monitoring and Engineering|IT.Ops.PerformanceEngineering@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
pgv011f8e|MQTM|PROD|West US|Integration Services|Infra.Services.Integration.Services@safeway.com|2024 R03||Handheld|MANUAL|Day 13|7/21/24|Sunday|05:00 PM|09:00 PM|7/22/24|Monday|08:00 AM|12:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
pgv011f90|MQTM|PROD|West US|Integration Services|Infra.Services.Integration.Services@safeway.com|2024 R03||Handheld|MANUAL|Day 13|7/21/24|Sunday|05:00 PM|09:00 PM|7/22/24|Monday|08:00 AM|12:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
pgv01204c|MQTM|PROD|West US|Integration Services|Infra.Services.Integration.Services@safeway.com|2024 R03||Handheld|MANUAL|Day 13|7/21/24|Sunday|05:00 PM|09:00 PM|7/22/24|Monday|08:00 AM|12:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
qgv011491|EATS|QA|West US|IT Ops Performance Monitoring and Engineering|IT.Ops.PerformanceEngineering@albertsons.com|2024 R03|EXC - 365|Handheld|MANUAL|Day 03|7/11/24|Thursday|08:00 PM|12:00 AM|7/12/24|Friday|11:00 AM|03:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
qgv011494|EATS|QA|West US|IT Ops Performance Monitoring and Engineering|IT.Ops.PerformanceEngineering@albertsons.com|2024 R03|EXC - 365|Handheld|MANUAL|Day 03|7/11/24|Thursday|08:00 PM|12:00 AM|7/12/24|Friday|11:00 AM|03:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
qgv011f8d|EATS|QA|West US|IT Ops Performance Monitoring and Engineering|IT.Ops.PerformanceEngineering@albertsons.com|2024 R03|EXC - 365|Handheld|MANUAL|Day 03|7/11/24|Thursday|08:00 PM|12:00 AM|7/12/24|Friday|11:00 AM|03:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
dgm011aa9|ebax|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
dgm011aaa|ebax|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
dgm011aab|ebax|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
dgm011aac|ebax|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
pgm011b99|ebax|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 13|7/21/24|Sunday|10:00 PM|02:00 AM|7/22/24|Monday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
pgm011b9a|ebax|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 13|7/21/24|Sunday|10:00 PM|02:00 AM|7/22/24|Monday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
pgm011b9e|ebax|PROD|East US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 13|7/21/24|Sunday|10:00 PM|02:00 AM|7/22/24|Monday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
pgm011b9f|ebax|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 13|7/21/24|Sunday|10:00 PM|02:00 AM|7/22/24|Monday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
pgm011ba0|ebax|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 13|7/21/24|Sunday|10:00 PM|02:00 AM|7/22/24|Monday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
pgm011ba1|ebax|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 13|7/21/24|Sunday|10:00 PM|02:00 AM|7/22/24|Monday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
pgm011ba2|ebax|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 13|7/21/24|Sunday|10:00 PM|02:00 AM|7/22/24|Monday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
qgm011b91|ebax|QA|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 07|7/15/24|Monday|10:00 PM|02:00 AM|7/16/24|Tuesday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
qgm011b92|ebax|QA|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 07|7/15/24|Monday|10:00 PM|02:00 AM|7/16/24|Tuesday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
qgm011b97|ebax|QA|East US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 07|7/15/24|Monday|10:00 PM|02:00 AM|7/16/24|Tuesday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
qgm011ba3|ebax|QA|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 07|7/15/24|Monday|10:00 PM|02:00 AM|7/16/24|Tuesday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
qgm011ba4|ebax|QA|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 07|7/15/24|Monday|10:00 PM|02:00 AM|7/16/24|Tuesday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
qgm011ba5|ebax|QA|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 07|7/15/24|Monday|10:00 PM|02:00 AM|7/16/24|Tuesday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
qgm011ba6|ebax|QA|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 07|7/15/24|Monday|10:00 PM|02:00 AM|7/16/24|Tuesday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
dgm011831|ebis|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
dgm011a55|ebis|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
dgm011a56|ebis|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
dgm011a5e|ebis|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
dgm011a5f|ebis|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
dgm011a60|ebis|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
pgm010e59|EBIS|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|Gregg|not patched|PATCHED|Running|Manila Shift
pgm0117f2|ebis|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|Gregg|not patched|PATCHED|Running|Manila Shift
pgm011b47|ebis|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|Gregg|not patched|PATCHED|Running|Manila Shift
pgm011b48|ebis|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|Gregg|not patched|PATCHED|Running|Manila Shift
pgm011b49|ebis|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|Gregg|not patched|PATCHED|Running|Manila Shift
pgm011b4a|ebis|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|Gregg|not patched|PATCHED|Running|Manila Shift
pgm011b4b|ebis|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|Gregg|not patched|PATCHED|Running|Manila Shift
pgm011b4c|ebis|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|Gregg|not patched|PATCHED|Running|Manila Shift
pgm011b67|ebis|PROD|East US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|chet|not patched|NOT YET Patched|Running|Manila Shift
pgm011b68|ebis|PROD|East US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|chet|not patched|NOT YET Patched|Running|Manila Shift
pgm011b69|ebis|PROD|East US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|chet|not patched|NOT YET Patched|Running|Manila Shift
pgm011b6a|ebis|PROD|East US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|chet|not patched|NOT YET Patched|Running|Manila Shift
pgm011b6b|ebis|PROD|East US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|chet|not patched|NOT YET Patched|Running|Manila Shift
pgm011b6c|ebis|PROD|East US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Handheld|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|chet|not patched|NOT YET Patched|Running|Manila Shift
qgm011afd|ebis|QA|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 07|7/15/24|Monday|10:00 PM|02:00 AM|7/16/24|Tuesday|01:00 PM|05:00 PM|Chris|not patched|NOT YET Patched|Running|Manila Shift
qgm011afe|ebis|QA|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 07|7/15/24|Monday|10:00 PM|02:00 AM|7/16/24|Tuesday|01:00 PM|05:00 PM|Chris|not patched|NOT YET Patched|Running|Manila Shift
qgm011aff|ebis|QA|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 07|7/15/24|Monday|10:00 PM|02:00 AM|7/16/24|Tuesday|01:00 PM|05:00 PM|Chris|not patched|NOT YET Patched|Running|Manila Shift
qgm011b00|ebis|QA|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 07|7/15/24|Monday|10:00 PM|02:00 AM|7/16/24|Tuesday|01:00 PM|05:00 PM|Chris|not patched|NOT YET Patched|Running|Manila Shift
qgm011b01|ebis|QA|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 07|7/15/24|Monday|10:00 PM|02:00 AM|7/16/24|Tuesday|01:00 PM|05:00 PM|Chris|not patched|NOT YET Patched|Running|Manila Shift
dgm01117e|ebse|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|06:00 PM|10:00 PM|7/10/24|Wednesday|09:00 AM|01:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
pgm01119e|ebse|PROD|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|07:00 PM|11:00 PM|7/28/24|Sunday|10:00 AM|02:00 PM|Chet|#N/A|NOT YET Patched|Running|Manila Shift
dgm011581|ebss|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
dgm011582|ebss|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
dgm011583|ebss|DEV|West US|Infrastructure B2B Application Support|b2b.support@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
